MeanInsideTemp,AVGHumidityInside,OutsideTemp,HumidityOutside,temp,rhum,wspd,pres,prcp
17.75897436,83.94358974,7.433333333,48.42820513,4,52,11.2,1018,0
19.03157895,86.13684211,5.668421053,52.75,4,56,7.6,1019,0
19.27837838,86.56756757,3.686486486,60.48648649,3.4,56,7.2,1021.7,0
19.16216216,87.15135135,2.864864865,64.24054054,3,65,3.6,1019,0
19.08055556,87.38333333,1.708333333,70.00555556,1,69,7.6,1019,0
18.89722222,87.63611111,0.844444444,76.00555556,2.7,66,10.8,1020.4,0
18.62972973,88.33513514,0.378378378,77.4027027,1,75,0,1019,0
18.73947368,88.34736842,0.126315789,79.58421053,0,69,3.6,1019,0
18.73024401,88.34510234,0.120206767,79.70573308,-0.4,76,3.6,1020.4,0
18.72101434,88.34283626,0.114097744,79.82725564,-2,80,3.6,1019,0
18.71178467,88.34057018,0.107988722,79.9487782,-1,80,3.6,1020,0
18.702555,88.33830409,0.101879699,80.07030075,-2.6,87,0,1024,0
18.69332533,88.33603801,0.095770677,80.19182331,-1,86,0,1021,0
18.68409566,88.33377193,0.089661654,80.31334586,0,86,3.6,1022,0
18.67486598,88.33150585,0.083552632,80.43486842,4.1,65,0,1024.3,0
18.66563631,88.32923977,0.077443609,80.55639098,6,61,3.6,1022,0
18.65640664,88.32697368,0.071334586,80.67791353,9,46,3.6,1021,0
18.64717697,88.3247076,0.065225564,80.79943609,9.7,45,0,1022.2,0
18.6379473,88.32244152,0.059116541,80.92095865,12,38,0,1020,0
18.62871763,88.32017544,0.053007519,81.0424812,13,30,22.3,1021,0
18.61948796,88.31790936,0.046898496,81.16400376,10.3,39,18,1022.9,0
18.61025828,88.31564327,0.040789474,81.28552632,8,53,11.2,1022,0
18.60102861,88.31337719,0.034680451,81.40704887,6,61,7.6,1023,0
18.59179894,88.31111111,0.028571429,81.52857143,6.1,60,0,1027.1,0
18.58256927,88.30884503,0.022462406,81.65009398,6,65,7.6,1024,0
18.5733396,88.30657895,0.016353383,81.77161654,5,75,7.6,1025,0
18.56410993,88.30431287,0.010244361,81.8931391,4.2,77,3.6,1027.3,0
18.55488026,88.30204678,0.004135338,82.01466165,3,81,7.6,1025,0
18.54565058,88.2997807,-0.001973684,82.13618421,3,81,7.6,1026,0
18.53642091,88.29751462,-0.008082707,82.25770677,2.7,84,0,1026.8,0
18.52719124,88.29524854,-0.014191729,82.37922932,1,86,0,1025,0
18.51796157,88.29298246,-0.020300752,82.50075188,1,86,0,1025,0
18.5087319,88.29071637,-0.026409774,82.62227444,-0.2,86,7.2,1027,0
18.49950223,88.28845029,-0.032518797,82.74379699,-3,93,3.6,1025,0
18.49027256,88.28618421,-0.03862782,82.86531955,-1,86,0,1025,0
18.48104288,88.28391813,-0.044736842,82.98684211,-3.1,93,7.2,1028.5,0
